review_id,product_category,product_name,rating,review_text,date
1000,모바일 전자기기,스마트폰 X5,1,배송이 너무 늦었고 포장도 부실했습니다. 게다가 카메라 성능도 마음에 들지 않고 느리게 작동합니다.,2025-02-16
1001,음향기기,블루투스 스피커 사운드톤,2,품질이 기대에 미치지 못합니다. 사운드 품질에 문제가 있고 빨리 방전되한 점이 불만입니다.,2025-01-09
1002,음향기기,블루투스 스피커 사운드톤,3,"사용하기 불편합니다. 휴대성가 잘 작동하지 않고, 과열한 점이 아쉽습니다.",2025-03-08
1003,모바일 전자기기,태블릿 프로 9,1,가격 대비 품질이 좋지 않습니다. 프로세서 속도가 부족하고 느리게 작동한 문제가 있네요. 디자인은 평범하습니다.,2025-01-09
1004,모바일 전자기기,스마트폰 X5,4,가성비가 정말 좋은 제품입니다. 프로세서 속도도 우수하고 호환성이 좋한 점이 좋네요. 추천합니다. 다음에도 같은 제품을 구매할 것 같습니다.,2025-04-03
1005,음향기기,블루투스 스피커 사운드톤,4,가성비가 정말 좋은 제품입니다. 휴대성도 우수하고 호환성이 좋한 점이 좋네요. 추천합니다.,2025-04-07
1006,모바일 전자기기,스마트폰 X5,2,품질이 기대에 미치지 못합니다. 프로세서 속도에 문제가 있고 과열한 점이 불만입니다.,2025-02-28
1007,스마트홈,홈 CCTV 시스템,5,배송이 생각보다 빨랐고 포장도 안전하게 잘 되어있었습니다. 음성 인식 정확도도 마음에 들고 디자인이 세련되합니다.,2025-01-23
1008,가전제품,전자레인지 M20,1,"사용하기 불편합니다. 소음 수준가 잘 작동하지 않고, 사용 설명서가 부실한 점이 아쉽습니다. 가격은 적당한 편입니다.",2025-02-24
1009,컴퓨터,게이밍 노트북 GT,5,"사용하기 정말 편리합니다. 저장 용량가 잘 설계되어 있고, 디자인이 세련되해서 만족스럽습니다.",2025-04-19
1010,음향기기,홈시어터 시스템,5,"사용하기 정말 편리합니다. 배터리 수명가 잘 설계되어 있고, 설치가 쉬해서 만족스럽습니다.",2024-11-11
1011,가전제품,전자레인지 M20,3,"사용하기 불편합니다. 스마트 기능가 잘 작동하지 않고, 품질이 일관적이지 않한 점이 아쉽습니다.",2025-02-19
1012,가전제품,전자레인지 M20,3,품질이 기대에 미치지 못합니다. 에너지 효율에 문제가 있고 느리게 작동한 점이 불만입니다. 다음에도 같은 제품을 구매할 것 같습니다.,2025-04-04
1013,음향기기,블루투스 스피커 사운드톤,4,"사용하기 정말 편리합니다. 휴대성가 잘 설계되어 있고, 유지 관리가 쉬해서 만족스럽습니다. 다른 제품과 비교했을 때 확실히 좋습니다.",2025-01-20
1014,모바일 전자기기,보조배터리 20000,4,제품 품질이 정말 좋습니다. 프로세서 속도가 특히 마음에 들어요. 디자인이 세련되한 점이 큰 장점입니다.,2024-11-14
1015,모바일 전자기기,스마트워치 V3,3,품질이 기대에 미치지 못합니다. 디자인에 문제가 있고 소음이 심한 점이 불만입니다.,2025-03-13
1016,가전제품,로봇청소기 클린맥스,5,제품 품질이 정말 좋습니다. 스마트 기능가 특히 마음에 들어요. 호환성이 좋한 점이 큰 장점입니다.,2024-12-10
1017,모바일 전자기기,스마트워치 V3,4,배송이 생각보다 빨랐고 포장도 안전하게 잘 되어있었습니다. 배터리 수명도 마음에 들고 호환성이 좋합니다.,2025-02-25
1018,스마트홈,AI 스피커 홈,3,"사용하기 불편합니다. 앱 사용성가 잘 작동하지 않고, 가격이 비싸한 점이 아쉽습니다.",2025-03-26
1019,음향기기,사운드바 울트라,5,가성비가 정말 좋은 제품입니다. 베이스 성능도 우수하고 에너지 효율이 좋한 점이 좋네요. 추천합니다.,2024-12-10
